"customer_id","is_churn","city","age","gender","registration_method","registration_date","plan_list_price","avg_amount_paid","auto_renew","times_under_paid","num_transactions","num_payment_methods","common_payment_method"
"GrTgoGepdZVJSJ+q0yqw/iBOZxgmk2DJwpjIztjjZ2c=",0,1,NA,"",7,"2015-12-31",99,99,"YES",0,11,1,41
"cqgh6AKuJCzutNUf1TKTtM1430s+dKBWeKSwPYlqv+4=",0,1,NA,"",7,"2017-01-14",100,100,"YES",0,1,1,41
"+loZuneCEJyRLCpp2ABs+lQqLPaq2aAws2a7NIf2Vzg=",0,5,39,"female",9,"2011-10-10",149,149,"YES",0,26,1,37
"m5uYkcpwZnNbCVoeT2OBWQGoCbWoQJfnpT6zxZMKjlY=",0,13,26,"female",3,"2013-10-30",143.269230769231,149,"YES",0,26,1,40
"nMFssTgIGLrJ3nwJ02wvTuAKqWYONbgqKIT/d09Rlpg=",0,1,NA,"",7,"2014-03-02",142.521739130435,149,"YES",0,23,1,41
"SyLzn3BW9g7Hp83OvP6DYAzU2xJz0DCF8mMTR/Ns46s=",0,1,NA,"",7,"2016-11-24",149,149,"YES",0,4,1,41
"8+E0KjVTEOWqQ+WMpoz/Zx1j3zNlaRGh0MQKbyP/NeQ=",0,22,32,"male",4,"2016-02-25",154.818181818182,154.818181818182,"YES",0,11,2,40
"gcXPAp5mnOJYYAXx0DUGPH5WiFUynJgFpAqCkEHMF6w=",0,1,30,"female",9,"2015-08-14",141.157894736842,141.157894736842,"NO",0,19,2,38
"B+MnfvGmATwy6wDMXNR43lCKPathx6RaFNNc0fxe9L0=",0,8,32,"male",3,"2015-11-15",246.5,246.5,"YES",0,4,3,36
"awHJPaDlKLZL1rQtCLAbv/JHEBienVYVULrYmDgzdpo=",0,5,22,"male",7,"2016-02-27",149,149,"YES",0,13,1,41
"FzfNguMdUBc79Iiwd9qWWg0GAH3leUVwQHa2RCwdyoA=",0,15,23,"male",7,"2014-04-03",144.785714285714,150.107142857143,"YES",0,28,2,41
"YAGNAT63Yb8ZvIW+coqVpbfBlZsxvMK7QCHJBfROBvk=",0,1,NA,"",7,"2011-03-02",149,149,"YES",0,5,1,41
"aziBreA/5yuIBG6luCrHNouqXK6IaGYP+88r5JBGMuk=",0,5,27,"female",9,"2008-02-04",141.157894736842,149,"YES",0,19,1,39
"HWxtpcWTdkSI5/s/VgQGfXkW2lsZUdlZrhIJWIpjEEA=",0,1,NA,"",4,"2016-11-14",99.3333333333333,99.3333333333333,"NO",0,3,1,38
"GOU3rTp8cl8VidrnqIj0PlgjOQXlJ5wKz1YJv9VVnF0=",0,13,20,"male",3,"2011-12-14",143.678571428571,149,"YES",0,28,1,37
"b4eo/ZgXw5/RQ7L3CPEISWfuI3WbHPtVGqu0hSMkmQo=",0,1,NA,"",7,"2016-06-11",99,99,"YES",0,9,1,41
"vVWClrD4WBYOWanFXsl2GjtNEIA4Rf07RRu88Phwc5s=",0,13,38,"male",9,"2007-10-15",108.363636363636,149,"YES",0,22,1,34
"a1XqAGoTHD0ZqoqPwzdKEt6Om482Ico0BSvpKZB68Ac=",0,4,29,"male",7,"2016-01-28",99,99,"YES",0,10,1,41
